id,name
070278 ,華邦電永昌76購02
076490 ,台玻元大81購01
073822 ,聯發科元大78購03
075338 ,京鼎統一7B購01
068294 ,神達元大75購01
075327 ,群創玉山79購01
068739 ,台郡永昌75購02
064721 ,玉晶光元富78購02
072362 ,T50反1富邦79購01
066156 ,華邦電元大74購01
064395 ,可成凱基75購03
074552 ,訊芯元富78購01
05292P ,臺股指中信74售01
075602 ,旺宏日盛79購04
069265 ,創意凱基75購03
075648 ,智易凱基79購02
06231P ,嘉聯益群益77售01
069501 ,TPK統一75購04
06831P ,台灣50元富79售02
073423 ,強茂兆豐78購01
073997 ,祥碩元大78購02
067638 ,宏全元富74購01
069122 ,今國光永豐75購01
06702P ,聯發科凱基78售05
068125 ,宏達電群益74購06
073362 ,元油2X元大7B購01
070218 ,祥碩元富76購01
075893 ,義隆永豐79購01
066816 ,旺宏台新74購01
073821 ,建準元大78購02
075998 ,京鼎台新79購01
06334P ,中石化國票77售01
2356 ,英業達
070402 ,晶電凱基79購04
070289 ,滬深2X台新76購01
064392 ,鴻準凱基75購01
075855 ,鴻海元大79購06
076036 ,台勝科統一7A購03
07037P ,臺股指富邦79售04
075004 ,緯創兆豐79購01
06982P ,上銀元大79售01
2636 ,台驊投控
069750 ,晶電元大76購05
068914 ,和大元大75購03
072931 ,華新麥證77購01
076309 ,華新科元大79購04
05364P ,台積電凱基74售10
067668 ,和大兆豐75購02
074509 ,康控日盛78購01
05492P ,大立光元富74售05
076458 ,台表科元富84購01
2614 ,東森
067025 ,興富發凱基74購01
05984P ,和碩凱基76售02
071658 ,FB上証統一79購01
069160 ,創意群益76購01
06309P ,玉晶光元大78售01
05679P ,華通凱基75售04
068957 ,國巨國泰76購02
066836 ,英利元大74購01
067442 ,旺宏永昌74購02
062536 ,長虹元大74購01
067011 ,創意元大75購01
069989 ,智原凱基76購01
068998 ,正文凱基75購01
071898 ,滬深2X永昌78購01
070067 ,台郡凱基76購02
073900 ,華新科元大78購04
075831 ,景碩台新7A購01
070300 ,智原群益76購03
071357 ,GIS群益77購03
064490 ,美律中信74購01
2606 ,裕民
075471 ,聚陽麥證79購01
070511 ,達運永豐76購02
2332 ,友訊
073630 ,聯茂凱基78購01
2836 ,高雄銀
07112P ,聯發科富邦79售04
071430 ,華榮永豐77購01
06813P ,可成富邦7A售01
073158 ,信邦元富77購01
073623 ,台光電凱基78購04
076785 ,台化日盛7A購01
062273 ,大立光統一74購02
066933 ,晶電元富74購02
071730 ,盟立元大77購01
070423 ,宏碁群益77購01
069039 ,禾伸堂永豐75購02
067965 ,台積電國泰74購06
062559 ,彩晶玉山74購01
070941 ,華紙第一79購01
068306 ,旺宏國泰75購05
068331 ,啟碁凱基75購01
5907 ,大洋-KY
074496 ,大立光凱基78購05
069415 ,奇鋐凱基75購01
071422 ,正崴台新78購01
075201 ,大立光元大79購08
070667 ,力麗元大76購01
076714 ,華通凱基7A購01
071277 ,宏碁群益77購02
073743 ,精英永豐78購01
076573 ,禾伸堂永豐7A購01
069576 ,大同群益75購05
068152 ,劍麟永豐75購01
073825 ,可成元大78購04
076649 ,正文元富7A購01
073325 ,祥碩麥證78購01
076569 ,全新永豐7A購03
076852 ,台郡國票7A購01
070838 ,台光電日盛76購01
072784 ,禾伸堂元大77購07
075706 ,台積電群益79購07
072264 ,華邦電兆豐78購02
076879 ,聯詠元大7A購02
9955 ,佳龍
067421 ,聯發科富邦76購01
076574 ,明泰永豐7A購01
068465 ,華新科元大75購02
073856 ,台積電永豐78購01
072227 ,大同中信77購01
03545C ,滬深2X元富84牛01
071414 ,強茂中信79購01
076203 ,國泰金日盛79購01
072369 ,臺股指群益77購01
05670P ,T50反1日盛75售01
073853 ,富邦金台新78購02
069358 ,創意國票75購01
071670 ,美律元富77購01
070981 ,統一永豐76購01
2467 ,志聖
06927P ,FBVIX群益79售02
070989 ,GIS永豐76購08
072052 ,光寶科元大77購01
05659P ,美律富邦76售02
067373 ,鴻準台新75購01
070427 ,華擎群益76購02
074310 ,上証2X永豐78購01
069978 ,訊芯群益76購04
070826 ,台光電元富76購01
075797 ,力麗統一79購02
06455P ,臺股指麥證7A售04
3561 ,昇陽光電
065568 ,永豐金中信74購01
069454 ,廣達兆豐75購01
071734 ,華晶科元大77購01
067031 ,長虹凱基74購01
073609 ,台塑麥證79購01
065392 ,美律兆豐75購01
072991 ,禾伸堂日盛77購03
067535 ,廣達凱基74購01
071104 ,百和元富78購01
066392 ,旺宏兆豐74購01
067434 ,群創群益74購04
070528 ,大立光富邦76購10
05449P ,儒鴻兆豐74售03
062736 ,緯創永昌75購01
070959 ,晶電群益76購05
074943 ,廣達麥證7A購01
075246 ,葡萄王中信79購01
069717 ,國喬兆豐76購01
4934 ,太極
067835 ,大立光中信75購01
066992 ,華東永豐74購01
073672 ,矽格麥證79購01
074886 ,台郡凱基79購02
066822 ,力麗元大74購01
074452 ,GIS群益78購03
1721 ,三晃
075026 ,和大元大79購02
06087P ,大立光統一76售05
3682 ,亞太電
072704 ,正文永豐77購02
